id,mssv,listening,reading,total,mamh,ghichu, listening, reading, mamh, ghichu,namkhoahoc,hedt,pass_avsc
175.0,2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0, NULL, NULL,17.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
176.0,3DD6D60BXPvAibaEXe/81GDNmtxKsSpculnFzj6s, NULL, NULL,17.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
177.0,01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt, NULL, NULL,18.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
178.0,FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw, NULL, NULL,18.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
179.0,22101E7EXPvAibaEXe+EYzJPHISY88zmD5Ggw1zy, NULL, NULL,18.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
181.0,7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR, NULL, NULL,19.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
182.0,68481D94XPvAibaEXe+3sZoWnetaj+cTym+QdnwT, NULL, NULL,19.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
183.0,1C245E0EXPvAibaEXe/rR9uJzGOYEuQ8DvEilYoI, NULL, NULL,19.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
184.0,1018ADF8XPvAibaEXe/5n/8z7IorIk20OdhUEnK0, NULL, NULL,19.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
185.0,330A20C4XPvAibaEXe+n4oL3iuTqC+0PyxPF31kr, NULL, NULL,19.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
186.0,6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi, NULL, NULL,19.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
187.0,A99910D5XPvAibaEXe8X/UxhAbbOGw8A+5PDAGk9, NULL, NULL,19.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
