id,mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,tinhtrang,diachi_tinhtp,namkhoahoc
18937.0,AA9630FDXPvAibaEXe8YD29zP3MXD4ZI2H/iUghw,2001.0,1.0,Ninh Thuận, KHMT2019, KHMT, CQUI,14, D480101,1.0,Thành phố Phan Rang -Tháp Chàm,2019
18938.0,B905512FXPvAibaEXe8YD29zP3MXDzdejfI0+Lpl,1999.0,1.0,Thanh Hóa, KTMT2019, KTMT, CQUI,14, D520214,1.0,Tỉnh Thanh Hóa,2019
18939.0,AA5491A5XPvAibaEXe9UJtBa/m0OMh9leFHDzP6n,2001.0,1.0,Thành phố Hồ Chí Minh, CTTT2019.2, HTTT, CTTT,14, D480104,1.0,Thành phố Hồ Chí Minh,2019
18940.0,F9D0A219XPvAibaEXe9UJtBa/m0OMpz+dZaQ9Qib,2001.0,0.0,Bình Định, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,1.0,Tỉnh Bình Định,2019
18941.0,48B89975XPvAibaEXe9UJtBa/m0OMrOIu7prTzFC,2001.0,1.0,Đồng Tháp, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Huyện An Phú,2019
18942.0,C5BD74F9XPvAibaEXe9UJtBa/m0OMpMDgmzdFmE+,2001.0,1.0,Đắk Lắk, CTTT2019.2, HTTT, CTTT,14, D480104,1.0,Huyện Buôn Đôn,2019
18943.0,EEE5C99BXPvAibaEXe9UJtBa/m0OMudGy/PcN/XG,2000.0,1.0,Thành phố Hồ Chí Minh, KHCL2019.3, KHMT, CLC,14, D480101,5.0,Thành phố Hồ Chí Minh,2019
18944.0,5A89CD9FXPvAibaEXe9UJtBa/m0OMs3zNSIBWcJ6,2001.0,1.0,Thành phố Cần Thơ, ATTT2019, MMT&TT, CQUI,14, D480299,1.0,Thành phố Cần Thơ,2019
18945.0,3DF93337XPvAibaEXe9UJtBa/m0OMlDlnMGN8CDs,2001.0,1.0,Quảng Trị, MTCL2019.3, KTMT, CLC,14, D520214,1.0,Tỉnh Quảng Trị,2019
18946.0,46D5B8D8XPvAibaEXe9UJtBa/m0OMuZH37VO2TRK,2001.0,1.0,Lâm Đồng, KTPM2019, CNPM, CQUI,14, D480103,1.0,Tỉnh Lâm Đồng,2019
